mu_E_source, mu_E_err_source,mu_N_source, mu_N_err_source, pm_corr_source
-1.182,0.041,-4.53,0.029,0.1071
-4.416,0.108,-6.504,0.077,0.4026
0.703,0.113,-5.771,0.078,0.3556
-0.735,0.057,-1.856,0.035,0.4563
-0.618,0.085,-4.07,0.053,0.1853
-0.119,0.102,-5.068,0.075,0.2599
-0.084,0.09,-2.244,0.06,0.3398
-3.774,0.229,-4.206,0.138,0.2572
-2.031,0.25,-6.367,0.182,-0.1229
0,0,0,0,0
-0.365,0.159,-3.755,0.107,0.2015
2.818,0.342,2.806,0.167,0.2708
-1.284,0.165,-0.273,0.124,0.2826
-2.416,0.269,-8.199,0.174,-0.0822
1.344,0.262,-1.592,0.171,0.458
-2.058,0.24,-7.529,0.158,0.4448
-0.734,0.439,-2.681,0.316,-0.0039
-8.18,0.27,-6.091,0.171,0.4164
-1.464,0.155,-7.11,0.11,0.0378
0.1,2.56,-6.753,3.839,0
-2.176,0.172,-3.545,0.116,0.4465
-2.683,0.308,-2.528,0.217,0.4867
-0.73,0.182,-2.481,0.127,0.3842
-3.289,0.118,-10.248,0.089,0.2447
1.73,2.73,-0.171,2.525,0
-1.428,1.439,2.282,0.806,0.2227
-2.121,0.128,-3.11,0.091,0.2624
-2.531,0.06,-6.14,0.042,0.087
-4.13,0.07,-8.856,0.049,0.0929
-7.129,0.51,-1.393,0.318,0.2302
-2.791,0.548,-0.891,0.35,0.5016
-1.571,0.195,3.058,0.127,0.4029
-5.13,0.127,-6.862,0.092,0.1945
-3.963,0.25,-4.595,0.168,0.5436
-4.264,0.398,-7.909,0.263,0.4175
-2.406,0.086,-3.966,0.063,0.3216
2.881,0.898,-1.614,0.511,-0.3082
2.501,0.588,-2.006,0.327,0.0844
-0.22,0.125,-1.112,0.085,0.3956
-0.524,0.169,-0.399,0.113,0.1239
-4.118,0.184,-5.711,0.134,0.3152
-1.192,0.134,-5.37,0.095,0.3908
-10.65,4.08,7.324,4.968,0
-2.815,0.323,-9.244,0.2,0.0784
2.82,19.39,8.499,14.359,0
-2.127,0.125,-4.278,0.082,0.3861
-2.815,0.323,-9.244,0.2,0.0784
-1.076,0.362,-2.8,0.293,0.0463
5.594,0.962,0.933,0.715,-0.1634
-2.297,0.183,-3.281,0.14,0.2276
4.194,0.459,0.422,0.329,0.1427
-0.754,0.549,0.834,0.373,-0.2077
1.063,0.261,-3.945,0.184,0.5587
-4.316,0.658,-3.59,0.43,0.3808
-10.485,0.341,-6.292,0.197,-0.1156
-15.691,1.055,-6.645,0.657,0.2615
-1.578,0.834,-6.217,0.612,0.1179
4.005,0.934,-5.774,0.622,0.2334
-3.627,0.865,-4.889,0.507,0.5049
