name,better,parallax,parallaxPath,xallarap,xallarapPath,deltaChi
PAR-01-noaver.dat,R/parallax,4721.5257,../sim_PAR/parallax/PAR-01-noaver.dat-.OUT,4741.5712,../sim_PAR/xallarap/PAR-01-noaver.dat.8.OUT,0.0
PAR-02-noaver.dat,R/parallax,8192.8953,../sim_PAR/parallax/PAR-02-noaver.dat-.OUT,8767.6674,../sim_PAR/xallarap/PAR-02-noaver.dat.9.OUT,0.0
PAR-03-noaver.dat,R/parallax,1883.9034,../sim_PAR/parallax/PAR-03-noaver.dat+.OUT,19528.9132,../sim_PAR/xallarap/PAR-03-noaver.dat.10.OUT,0.0
PAR-04-noaver.dat,R/parallax,1432.4672,../sim_PAR/parallax/PAR-04-noaver.dat-.OUT,2594.3989,../sim_PAR/xallarap/PAR-04-noaver.dat.9.OUT,0.0
PAR-05-noaver.dat,R/parallax,2498.4304,../sim_PAR/parallax/PAR-05-noaver.dat+.OUT,2488.9729,../sim_PAR/xallarap/PAR-05-noaver.dat.4.OUT,0.0
PAR-06-noaver.dat,R/xallarap,5017.961,../sim_PAR/parallax/PAR-06-noaver.dat+.OUT,4755.6681,../sim_PAR/xallarap/PAR-06-noaver.dat.7.OUT,262.2929000000004
PAR-07-noaver.dat,R/parallax,4892.8441,../sim_PAR/parallax/PAR-07-noaver.dat+.OUT,4884.5073,../sim_PAR/xallarap/PAR-07-noaver.dat.5.OUT,0.0
PAR-08-noaver.dat,R/parallax,1415.5775,../sim_PAR/parallax/PAR-08-noaver.dat-.OUT,1438.3807,../sim_PAR/xallarap/PAR-08-noaver.dat.9.OUT,0.0
PAR-09-noaver.dat,R/parallax,2957.2268,../sim_PAR/parallax/PAR-09-noaver.dat+.OUT,2963.4319,../sim_PAR/xallarap/PAR-09-noaver.dat.7.OUT,0.0
PAR-10-noaver.dat,R/parallax,1839.9498,../sim_PAR/parallax/PAR-10-noaver.dat-.OUT,1853.2353,../sim_PAR/xallarap/PAR-10-noaver.dat.7.OUT,0.0
PAR-11-noaver.dat,R/parallax,1156.2045,../sim_PAR/parallax/PAR-11-noaver.dat-.OUT,1142.7672,../sim_PAR/xallarap/PAR-11-noaver.dat.9.OUT,0.0
PAR-12-noaver.dat,R/parallax,925.0734,../sim_PAR/parallax/PAR-12-noaver.dat+.OUT,976.5775,../sim_PAR/xallarap/PAR-12-noaver.dat.10.OUT,0.0
